"Function","Rules","MSE","PointsBelowCurve","PercentageBelowCurve"
1,1,0.0127863809534245,21,21
1,2,0.000576744800214716,3,3
1,3,0.000370099152481104,16,16
1,4,0.000613801771511238,12,12
1,5,0.0138568612859416,24,24
2,1,1.08954635699664e-05,3,3
2,2,8.88653177982161e-06,7,7
2,3,9.68806364619729e-05,21,21
2,4,6.44639344891237e-05,28,28
2,5,5.64403611396997e-05,34,34
3,1,0.0362739796479812,3,3
3,2,0.0223924578765696,3,3
3,3,0.165303904292255,29,29
3,4,0.00157646112965212,11,11
3,5,0.000906020471364471,13,13
4,1,143.921034480788,3,3
4,2,23.6282949491166,4,4
4,3,913.872380747526,22,22
4,4,601.880099678642,25,25
4,5,566.915135601322,38,38
5,1,0.026651759382977,22,22
5,2,9.67087901087738e-06,7,7
5,3,0.00124325883160086,14,14
5,4,0.000337014395078854,7,7
5,5,0.0029458054356748,16,16
6,1,1.2135910055929e-06,12,12
6,2,1.2135910055929e-06,12,12
6,3,1.2135910055929e-06,12,12
6,4,1.2135910055929e-06,12,12
6,5,1.2135910055929e-06,12,12
7,1,3.77541450531288e-05,2,2
7,2,0.000199823649849923,7,7
7,3,7.412088984826e-05,8,8
7,4,4.49427207311824e-05,17,17
7,5,7.68222185236941e-05,14,14
8,1,0.195952182543391,2,2
8,2,0.0294303809919395,2,2
8,3,2.64651047622357,22,22
8,4,2.90689664210014,38,38
8,5,0.815069414582246,28,28
9,1,1.76455754134281e-05,3,3
9,2,0.000575923762626334,17,17
9,3,0.000410964145824006,36,36
9,4,5.78378871866048e-05,28,28
9,5,0.000104292952242868,45,45
10,1,2.76577657035361e-06,4,4
10,2,0.000543584367456762,6,6
10,3,0.000543584367456762,6,6
10,4,0.000543584367456762,6,6
10,5,0.000543584367456762,6,6
